tag,Area,Roundness,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7
S,24388,0.13693764769465075,0.0018340101856845173,2.5474956122298555e-08,5.157565735675723e-11,6.598317911442551e-12,5.1835494027063565e-23,-7.603521367901394e-16,1.1013420229557515e-22
D,30191,0.22798587537895426,0.001617268636501999,3.1480905382145492e-09,1.9242006261608688e-10,1.7961636152430742e-13,1.033487532622625e-24,5.240090518098754e-18,2.1665024439168325e-25
D,47669,0.7139288924885674,0.0008530113693338433,5.3249591602994595e-11,2.730418867045504e-11,1.8764548831411378e-13,-1.0153509151804182e-25,-5.259781546556766e-19,-4.1242403450967257e-25
S,28707,0.19276379977301175,0.0015548153956716246,5.0403847050781247e-08,2.2628007674307228e-11,5.041823896950178e-13,1.422493692795072e-24,-1.1037320069176549e-16,-9.362624605215846e-25
D,27054,0.1420563730960702,0.0012483507575557148,1.3310128474829132e-07,3.9811377339488016e-10,8.975037084652945e-12,3.120839045441476e-22,-1.3227526001090791e-15,-4.363717633473981e-22
S,25914,0.15193651651498608,0.001586185510501182,9.882186783914817e-08,1.3843765155986451e-11,1.9139176588151223e-12,2.2789890306341362e-24,-4.8346155216581425e-16,-9.584495960107167e-24
F,31771,0.5851681149400026,0.001121096766916612,1.8993924810695492e-07,3.9360582027344863e-10,4.90436337098984e-11,2.0965554416235737e-21,-8.84834222463311e-15,-6.483487056913089e-21
A,31919,0.37881606741685525,0.0008968141821416099,2.3168583080651063e-08,4.166153882294488e-10,2.708627648589229e-12,8.99236877393851e-23,-2.9515305064538867e-16,-1.388640706947537e-23
A,22900,0.2049314654480764,0.001360307434069008,1.5882898627836515e-08,1.8160871575786705e-09,6.875851815758733e-11,-2.0927767117064957e-20,7.514277225235153e-15,-1.2344537111724154e-20
F,36247,1.0714865907135123,0.000876407221457239,2.0290487282080408e-07,1.2715961345442225e-10,1.7570478463887335e-11,2.7236895577386573e-22,-2.447337843075228e-15,-7.845879561244145e-22
A,24732,0.22859777606389958,0.0013021501078933038,5.411550441769368e-09,1.4971670395397505e-09,4.613134401033012e-11,-1.201662998069296e-20,2.7728650983537855e-15,-1.6064613746345836e-21
G,42335,0.34102369162513074,0.0009142891366807345,1.8291181773000773e-09,8.53346897567658e-12,6.105242328947395e-13,-2.677307901431799e-25,-2.6050474756400187e-17,-1.3675721679617342e-24
G,43164,0.38497285688911487,0.0008989365478263039,1.6780163840796736e-09,7.314583559421744e-12,5.309037531068533e-13,-5.037209444516567e-26,-2.163088625031539e-17,-1.0449957641154997e-24
G,27751,0.191346694605806,0.0016668513533196773,1.3670680212408283e-08,6.653713748930993e-11,7.120034973260734e-12,9.938617134027488e-23,-1.2956074553607143e-16,1.1890724082032634e-22
G,25395,0.09560508379646518,0.0012771989173813907,1.27779224926549e-08,3.503874208191134e-11,5.195766739255032e-12,5.659181370113286e-23,3.5341533374172567e-16,4.1377185542440275e-23
A,29197,0.2967143286671924,0.0010447485843889113,6.613416082779638e-10,7.214978032867972e-10,2.2152528488641458e-11,-2.654661008826001e-21,-2.3567019690530114e-16,8.922920213705098e-22
A,18485,0.1774913816128152,0.0015509385193569819,1.8309579094906847e-08,3.199454866540405e-09,2.0358133470697185e-10,-7.287337653029702e-20,-1.5985652988842418e-14,1.4725785814324326e-19
A,25718,0.23608877161230854,0.0012024788720196948,1.893123287153475e-08,1.1264519183879605e-09,2.9985908835360926e-11,-5.111466870343237e-21,3.9576677013015825e-15,-2.06016290726204e-21
F,38408,0.3211076236705976,0.0008999934247590534,1.050659806060305e-07,1.5844986541641104e-10,2.663872013182524e-12,-1.327562604887501e-23,-7.994240138306658e-16,-5.309425499049406e-23
F,27852,0.6027764936021585,0.0014220563960508994,2.795465868134697e-07,9.490158466975358e-10,1.2890866239362324e-10,1.2409932855237385e-20,-2.5276727599199555e-14,-4.334640863246485e-20
A,50338,0.4644768876065612,0.0007218830823430846,3.4172153189882094e-10,1.123099588964857e-11,8.725217060401493e-13,-2.275076201830463e-24,-5.169217788637824e-19,-1.5113465688670496e-24
S,28058,0.17363483001425162,0.0016363235284660017,1.4533949320175777e-08,7.299429205551122e-12,2.1573322377347522e-12,7.932521455382908e-24,-2.4526063477743177e-16,-3.2193643303399692e-24
D,30220,0.22644606965664446,0.001615707250586905,3.276089494567032e-09,1.928312924211466e-10,1.3737496688585442e-13,6.971229015630749e-25,4.342192926150119e-18,1.1806537561669632e-25
S,47744,0.44129759907790805,0.0007442296630439018,9.60157093805944e-09,2.737521762061991e-12,2.4616254681613336e-14,-9.461163491364535e-28,5.38531110508485e-19,6.3197320289310355e-27
D,29491,0.34462108893604554,0.001743441793592831,2.1980636044425316e-08,2.185790596757905e-10,5.043689886455878e-12,-1.2648170501299074e-22,6.77728214618333e-16,-1.0976003112839056e-22
D,33013,0.4685064875382299,0.001546030373037452,9.001507065668228e-09,1.4100520934718407e-10,1.5954106912727267e-12,1.2275015380358234e-23,1.2044703501890365e-16,2.0540830609985323e-23
S,43238,0.3016966094956156,0.0008329229771229189,8.041460537399377e-09,3.725779887251998e-12,3.290987031112773e-13,3.460620247250223e-25,-2.283258402235103e-17,-1.141943553507863e-25
D,27802,0.22869094101209517,0.0017083320735589017,3.450118101114553e-10,3.7480693668748615e-10,7.67027132731515e-13,-4.1296842502442495e-25,6.2402309682690196e-18,-1.2998727462395208e-23
S,36442,0.21720950960035978,0.0010863538687409802,1.14935430692875e-08,7.1674165856335645e-12,5.522958567881099e-13,1.0983268296766259e-24,-5.430465195042339e-17,-3.3952511280532427e-26
D,37415,0.3018745098158646,0.0012128674702723836,1.1460309443036314e-09,4.77494944811855e-11,9.11947440199527e-14,1.1852134417556547e-25,8.340762336716989e-19,1.4888530247362468e-25
F,19468,0.12661979355123668,0.0018923128105386119,6.517104580152281e-07,2.2021322923159715e-09,7.182817718803775e-11,-2.5224431341080063e-21,-2.1733058343639875e-14,2.845537337598944e-20
A,17798,0.16911626782182573,0.0015965098177517308,2.0934010050426047e-10,3.769342624081592e-09,2.0993494097970315e-10,-1.8621434520672716e-19,-2.6964575823601705e-15,-1.4130316228321907e-20
A,24727,0.22583188971324775,0.001302388445693713,5.215512320191894e-09,1.4984252971347197e-09,4.5972941503573264e-11,-1.198635694261915e-20,2.7380869482854874e-15,-1.3859086601795945e-21
F,26135,0.5949147557667471,0.001483117399976292,2.830280206277769e-07,1.0108622850023435e-09,2.2997212814667866e-10,9.038399034040774e-20,-4.9461832714291206e-15,-6.422947099052022e-20
A,22942,0.09307130508607571,0.001640377001093844,3.894714770762488e-08,1.5400305191857065e-10,8.086240866538162e-11,2.056414913668918e-21,-1.5664639639165487e-15,8.786257965609211e-21
F,24041,0.6831547649721497,0.0014441679874612778,3.9997540892767e-07,1.3059579082604577e-09,3.3796059034316284e-10,2.059217000140759e-19,-1.6629036611643692e-14,-8.948458578331144e-20
G,20808,0.12662710178389391,0.0022505067921020656,3.339311913245709e-08,1.3713907343649406e-10,2.1216586673412427e-11,1.1069176648564985e-21,1.393227152317548e-15,2.9065671653207403e-22
G,20395,0.1315111989432842,0.0023250993266090217,3.5409285070662914e-08,1.7409811906710304e-10,2.1430382852175624e-11,1.3067697484454077e-21,7.573658713388599e-16,7.649755497448604e-23
G,27924,0.20416538404741985,0.00171457338925267,1.2906890695462232e-08,1.725833382047355e-10,3.326153666822226e-11,5.083303539342332e-22,-3.63746509600479e-15,-2.4682709761949984e-21
G,34308,0.24446073622659,0.0012484368545977917,4.224525185924201e-09,2.873014186465363e-11,1.5302054624129683e-12,5.9465727943937826e-24,-9.610963119540076e-17,-8.220641557963991e-24
F,28923,0.594346480725385,0.0013134283096598144,1.884237189709673e-07,5.846708740180067e-10,1.3964278277096075e-10,3.447673665656312e-20,-7.198163024950675e-16,-2.0085869926626842e-20
A,40166,0.5212886283135354,0.0007471378426436122,3.5233361297173746e-09,1.1440180395280113e-10,2.7577604225572617e-12,-4.358571437808006e-23,1.6154155651989633e-16,-2.2353624292182274e-23
A,24053,0.15987248258495534,0.0012252379269525114,1.782656669505413e-09,1.5303835590120258e-09,1.1130552261042749e-10,-3.7676620974412546e-20,-4.155539793403488e-15,-2.628312221685507e-20
F,47656,2.8301652079295874,0.000763570425442295,4.2424909029086203e-08,5.7332196053573915e-11,3.735443757983991e-12,4.6804200207978335e-23,-1.5004329912271722e-17,-2.824311673544281e-23
F,26684,0.31730328380592454,0.0014912928283956823,2.7763246799991846e-07,1.0343157857058582e-09,6.02981966111199e-11,8.243899311272389e-21,-1.4340670850400444e-14,-1.2601506042795548e-20
A,21060,0.1617808608161821,0.0014876603330330005,7.694404494757038e-08,2.0394895281974892e-09,3.917225443956839e-11,-2.825597304794654e-21,7.142436615391008e-15,1.0705447329662193e-20
D,29116,0.20195353289791648,0.0016688701715989868,2.1717719094298743e-09,2.575541296745071e-10,5.113571545094361e-13,5.031605882224764e-24,6.664257777573893e-18,3.020137115085105e-24
S,28894,0.15840386796386258,0.001469615654975746,2.5838344188103187e-08,2.3646179408051603e-11,9.65013031589525e-13,4.149907252869495e-24,-9.688199990926808e-17,2.0070742679866957e-24
S,25658,0.18255036386496953,0.0016946292809475751,1.881437791061163e-07,1.2900712965117523e-10,3.332224398204278e-12,3.905938243180565e-23,-1.434993983508708e-15,-5.698806352783049e-23
D,21807,0.10126840808467417,0.0020655013198525025,1.2800200861060965e-07,5.461238526414721e-10,4.863631478046351e-11,6.307288640943256e-21,1.0336177547735616e-14,4.800936136530484e-21
D,27288,0.13581063380780353,0.001254147742238052,1.0111341632727547e-07,4.125406362377894e-10,7.250414755913018e-12,2.921370483722834e-22,-7.8744073056615e-16,-2.681289606987001e-22
S,45576,0.8394328792453987,0.0007400383565327376,5.851653000076664e-08,3.794252677373744e-12,2.0234392712081338e-13,1.0867826743852832e-25,-4.8249990127852095e-18,-1.4008149784403025e-25
D,54880,2.9197887318838225,0.0006775581085018275,6.417521233626113e-11,1.3515801997809399e-11,1.441605262310825e-13,-2.0120776397950202e-25,-1.1540529220878853e-18,-2.919546844033142e-27
